project,launchDate,updatedDate,kyc,language
Derive,2021-08-23T14:00:00.000Z,2026-01-12T09:47:48.867Z,,Solidity
BENQI,2021-08-19T12:00:00.000Z,2025-11-27T17:24:07.607Z,,ReactJS;Solidity
Beefy Finance,2021-07-15T16:00:00.000Z,2024-12-02T18:46:02.247Z,,Solidity
88mphV3,2021-07-03T11:00:00.000Z,2024-11-18T12:03:58.572Z,,Solidity
Yearn Finance,2021-07-01T07:00:00.000Z,2026-01-29T22:03:14.005Z,,Solidity
Tranchess,2021-06-22T15:30:00.000Z,2025-07-18T13:29:27.345Z,,JavaScript;Solidity
Impossible Finance,2021-06-18T13:00:00.000Z,2024-11-18T12:50:36.114Z,,Solidity
Ichi,2021-06-17T15:00:00.000Z,2024-11-12T12:44:04.171Z,,Solidity
CoW Protocol,2021-06-15T17:00:00.000Z,2025-08-19T16:06:40.858Z,,Solidity
MUX,2021-06-09T07:00:00.000Z,2026-02-16T08:53:46.509Z,,Solidity
DODO,2021-05-25T05:00:00.000Z,2024-11-18T12:03:26.280Z,,Solidity
Lido,2021-05-22T05:00:00.000Z,2025-12-19T17:27:34.129Z,,Solidity;Vyper
Chainlink,2021-05-11T05:00:00.000Z,2026-03-06T07:31:19.424Z,True,Go;Rust;Solidity;Typescript
Vesper,2021-05-06T05:00:00.000Z,2025-06-16T12:43:27.928Z,,JavaScript;Solidity
DeFi Saver,2021-04-21T07:00:00.000Z,2025-09-24T13:20:19.707Z,,Solidity
Alpha Venture DAO,2021-04-20T07:00:00.000Z,2025-09-19T13:28:17.902Z,,Solidity
Integral,2021-04-15T07:00:00.000Z,2024-11-18T14:00:08.992Z,True,Solidity
Aevo,2021-04-12T07:00:00.000Z,2024-12-02T18:06:18.451Z,,Solidity
Enzyme Blue,2021-03-29T07:00:00.000Z,2026-03-10T08:12:50.141Z,,Solidity
PancakeSwap,2021-03-28T07:00:00.000Z,2026-01-12T10:00:57.847Z,,Solidity
SushiSwap,2021-03-26T07:00:00.000Z,2025-10-16T22:38:56.122Z,,Solidity
Pareto Credit,2021-03-25T07:00:00.000Z,2025-06-03T15:23:16.105Z,,Solidity
Synthetix,2021-03-05T07:00:00.000Z,2025-10-27T07:36:41.306Z,,Solidity;JavaScript
Nexus Mutual,2021-02-23T07:00:00.000Z,2025-11-14T12:09:41.156Z,,Solidity
Mt Pelerin,2021-02-08T07:00:00.000Z,2025-12-23T11:07:55.397Z,,Solidity
Charm,2021-02-05T07:00:00.000Z,2024-12-04T15:22:44.700Z,,Solidity
Money on Chain,2021-01-14T00:00-07:00,2024-04-08T18:56:41.638Z,True,Solidity
Harvest Finance,2020-12-02T07:00:00.000Z,2024-11-18T13:44:21.767Z,,JavaScript;Solidity
Immunefi,2020-12-02T05:00:00.000Z,2025-11-17T09:39:05.072Z,True,Solidity
Obyte,2020-12-01T07:00:00.000Z,2026-03-03T18:42:11.454Z,,JavaScript
